Year	Region	Commodity	Product	Product_en	Volume
2016	Baden-Württemberg		Erdöl (t)	Oil (t)	251
2016	Baden-Württemberg		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	2583589
2016	Baden-Württemberg		Spezialton (t)	Special Clay (t)	636139
2016	Bayern		Erdöl (t)	Oil (t)	37008
2016	Bayern		Erdgas (1000 m³)	Gas (1000 m³)	12697
2016	Bayern		Spezialton (t)	Special Clay (t)	1813775
2016	Brandenburg		Braunkohle (t)	Lignite (t)	33776031
2016	Brandenburg		Erdöl (t)	Oil (t)	9910
2016	Brandenburg		Spezialton (t)	Special Clay (t)	12571
2016	Hamburg		Erdöl (t)	Oil (t)	12772
2016	Mecklenburg-Vorpommern		Erdöl (t)	Oil (t)	3677
2016	Mecklenburg-Vorpommern		Spezialton (t)	Special Clay (t)	31877
2016	Niedersachsen		Braunkohle (t)	Lignite (t)	1073611
2016	Niedersachsen		Erdöl (t)	Oil (t)	802439
2016	Niedersachsen		Erdgas (1000 m³)	Gas (1000 m³)	8108286
2016	Niedersachsen		Kalisalz (t)	Potash (t)	331277
2016	Niedersachsen		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	3424755
2016	Niedersachsen		Spezialton (t)	Special Clay (t)	60030
2016	Nordrhein-Westfalen		Steinkohle (t)	Hard Coal (t)	3848975
2016	Nordrhein-Westfalen		Braunkohle (t)	Lignite (t)	90450843
2016	Nordrhein-Westfalen		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	2890324
2016	Nordrhein-Westfalen		Spezialton (t)	Special Clay (t)	182521
2016	Rheinland-Pfalz		Erdöl (t)	Oil (t)	187494
2016	Rheinland-Pfalz		Spezialton (t)	Special Clay (t)	2813341
2016	Sachsen		Braunkohle (t)	Lignite (t)	38472456
2016	Sachsen		Spezialton (t)	Special Clay (t)	265864
2016	Sachsen-Anhalt		Braunkohle (t)	Lignite (t)	7893261
2016	Sachsen-Anhalt		Erdgas (1000 m³)	Gas (1000 m³)	423832
2016	Sachsen-Anhalt		Kalisalz (t)	Potash (t)	1987322
2016	Sachsen-Anhalt		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	4299001
2016	Sachsen-Anhalt		Spezialton (t)	Special Clay (t)	96590
2016	Schleswig-Holstein		Erdöl (t)	Oil (t)	1301478
2016	Schleswig-Holstein		Erdgas (1000 m³)	Gas (1000 m³)	43341
2016	Thüringen		Erdgas (1000 m³)	Gas (1000 m³)	20069
2016	Thüringen		Kalisalz (t)	Potash (t)	669436
2016	Thüringen		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	235968
2016	Thüringen		Spezialton (t)	Special Clay (t)	138813
2016	Hessen		Kalisalz (t)	Potash (t)	2133197
2016	Hessen		Spezialton (t)	Special Clay (t)	735722
