	Region	Commodity	Product	Product_en	Volume
	Baden-Württemberg		Erdöl (t)	Oil (t)	251
	Baden-Württemberg		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	2583589
	Baden-Württemberg		Spezialton (t)	Special Clay (t)	636139
	Bayern		Erdöl (t)	Oil (t)	37008
	Bayern		Erdgas (1000 m³)	Gas (1000 m³)	12697
	Bayern		Spezialton (t)	Special Clay (t)	1813775
	Brandenburg		Braunkohle (t)	Lignite (t)	33776031
	Brandenburg		Erdöl (t)	Oil (t)	9910
	Brandenburg		Spezialton (t)	Special Clay (t)	12571
	Hamburg		Erdöl (t)	Oil (t)	12772
	Mecklenburg-Vorpommern		Erdöl (t)	Oil (t)	3677
	Mecklenburg-Vorpommern		Spezialton (t)	Special Clay (t)	31877
	Niedersachsen		Braunkohle (t)	Lignite (t)	1073611
	Niedersachsen		Erdöl (t)	Oil (t)	802439
	Niedersachsen		Erdgas (1000 m³)	Gas (1000 m³)	8108286
	Niedersachsen		Kalisalz (t)	Potash (t)	331277
	Niedersachsen		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	3424755
	Niedersachsen		Spezialton (t)	Special Clay (t)	60030
	Nordrhein-Westfalen		Steinkohle (t)	Hard Coal (t)	3848975
	Nordrhein-Westfalen		Braunkohle (t)	Lignite (t)	90450843
	Nordrhein-Westfalen		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	2890324
	Nordrhein-Westfalen		Spezialton (t)	Special Clay (t)	182521
	Rheinland-Pfalz		Erdöl (t)	Oil (t)	187494
	Rheinland-Pfalz		Spezialton (t)	Special Clay (t)	2813341
	Sachsen		Braunkohle (t)	Lignite (t)	38472456
	Sachsen		Spezialton (t)	Special Clay (t)	265864
	Sachsen-Anhalt		Braunkohle (t)	Lignite (t)	7893261
	Sachsen-Anhalt		Erdgas (1000 m³)	Gas (1000 m³)	423832
	Sachsen-Anhalt		Kalisalz (t)	Potash (t)	1987322
	Sachsen-Anhalt		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	4299001
	Sachsen-Anhalt		Spezialton (t)	Special Clay (t)	96590
	Schleswig-Holstein		Erdöl (t)	Oil (t)	1301478
	Schleswig-Holstein		Erdgas (1000 m³)	Gas (1000 m³)	43341
	Thüringen		Erdgas (1000 m³)	Gas (1000 m³)	20069
	Thüringen		Kalisalz (t)	Potash (t)	669436
	Thüringen		Steinsalz & Industriesohle (t)	Rock Salt & Industrial Brine (t)	235968
	Thüringen		Spezialton (t)	Special Clay (t)	138813
	Hessen		Kalisalz (t)	Potash (t)	2133197
	Hessen		Spezialton (t)	Special Clay (t)	735722
