Beschäftigte des Sektors „Bergbau und Gewinnung von Steinen und Erden“ 2016;;
;;
;Sozialversicherungspflichtig Beschäftigte am Stichtag 30.06.2016;darunter Auszubildende
Bergbau und Gewinnung von Steinen und Erden insgesamt;71.074;2.373
darunter:;;
Kohlenbergbau;15.881;860
Gewinnung von Erdöl und Erdgas;3.045;105
Erzbergbau;860;*
Gewinnung von Steinen und Erden, sonstiger Bergbau;37.982;1.068
Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden;13.306;340
;;
;;
Quelle: http://www.rohstofftransparenz.de/explore/employment/;;
