Beschäftigte des Sektors „Bergbau und Gewinnung von Steinen und Erden“ 2017;;;;;;
;;;;;;
;Sozialversicherungspflichtig  Beschäftigte am Stichtag  31. Dezember 2017;;;Darunter Auszubildende;;
;Gesamt;Männer;Frauen;Gesamt ;Männer;Frauen
Bergbau und Gewinnung von Steinen und Erden insgesamt;66,966;58.350;8.616;2.445;;
darunter:;;;;;;
Kohlenbergbau;13.731;12.183;1.548;726;656;70
Gewinnung von Erdöl und Erdgas;3.140;2.445;695;125;98;27
Erzbergbau;809;721;88;17;* ;*
Gewinnung von Steinen und Erden, sonstiger Bergbau;36.997;32.301;4.696;1.275;1.095;180
Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden;12.289;10.700;1.589;302;257;45
;;;;;;
*  Aus Datenschutzgründen und Gründen der statistischen Geheimhaltung werden Zahlenwerte von 1 oder 2 und Daten,  aus denen rechnerisch auf einen solchen Zahlenwert geschlossen werden kann, anonymisiert.;;;;;;
Quelle: http://www.rohstofftransparenz.de/explore/employment/;;;;;;
