Förderabgabe in Euro ;2015;2016
Bundesgebiet;386.954.750,40;232.507.396,33
Baden-Württemberg;117.387,84;128.185,25
Bayern;479.125,65;1.479.828,47
Berlin;0;0
Bremen;0;0
Hamburg;167.392,87;86.573,83
Hessen;455.052,77;462.929,24
Niedersachsen;295.865.995,20;172.075.617,30
Nordrhein-Westfalen;1.451.800,74;666.541,61
Rheinland-Pfalz;8.112.789,63;5.191.731,39
Saarland;137.667,06;33.121,21
Schleswig-Holstein;75.966.953,81;48.139.515,05
Brandenburg;528.292,70;536.917,05
Mecklenburg-Vorpommern;466.322,01;247.585,55
Sachsen;335.156,57;523.795,20
Sachsen-Anhalt;1.363.756,74;1.480.734,27
Thüringen;1.507.056,81;1.454.320,91
Förderabgaben in Mio. EUR;387;232,5
Gesamteinnahmen des Staates in Mio. EUR;1.301.816;1.351.851
Anteil im Prozent;0,03;0,02
"Quelle: [Hyperlink setzen zu ""Daten einsehen"" Endnote iv]";;
;;
Feldesabgabe im Jahr 2015 ;;
Bundesland;in Tausend Euro;
Bayern;46;
Brandenburg;30;
Niedersachsen;351;
Nordrhein-Westfalen;1452;
"Quelle: [Hyperlink setzen zu ""Daten einsehen"" Endnote iv]";;
