Tax revenues from the extractive industry;;
Revenue from extraction royalties paid by the extractive sector in 2015 and 2016:;;
;;
Extraction royalties in €;2015;2016
Federal state;;
Baden-Wuerttemberg;117,39;128,19
Bavaria;479,13;1,479,828
Berlin;0;0
Bremen;0;0
Hamburg;167,39;86,57
Hesse;455,05;462,93
Lower Saxony;295,865,995;172,075,617
North Rhine-Westphalia;1,451,800;666,54
Rhineland-Palatinate;8,112,789;5,191,731
Saarland;137,67;33,12
Schleswig-Holstein;75,966,953;48,139,515
Brandenburg;528,29;536,92
Mecklenburg-Western-Pomerania;466,32;247,59
Saxony;335,16;523,8
Saxony-Anhalt;1,363,756;1,480,734
Thuringia;1,507,056;1,454,320
;;
Total extraction royalties;386,954,750;232,507,396
Total income of the Federal State in millions of €;1,301,816;1,351,851
Proportion;0,03%;0,02%
;;
Source: http://www.rohstofftransparenz.de/en/daten/einnahmen/;;
