Steuereinnahmen aus dem Rohstoffsektor;;;;;;
Einnahmen aus Steuern von 2010-2015 ;;;;;;
;;;;;;
Steuerart;;;;Jahr;;
;2010;2011;2012;2013;2014;2015
;;;in Mio. EURO;;;
Körperschaftsteuer;132;154;173;154;148;122
Gewerbesteuer;155;248;266;236;227;187
Einkommensteuer;39;34;60;53;51;42
Solidaritätszuschlag;9;10;13;11;11;9
Summe;335;446;512;454;438;361
Gesamteinnahmen des Staates;1.030.908;1.103.862;1.163.357;1.201.058;1.244.589;1.301.816
Anteil o.g. Steuern an Gesamteinnahmen;0,03%;0,04%;0,04%;0,04%;0,04%;0,03%
nachrichtlich:;;;;;;
Fortschreibungsfaktor;;;7,09%;-11,40%;-3,48%;-17,61%
;;;;;;
http://www.rohstofftransparenz.de/explore/einnahmen/;;;;;;
