Steuereinnahmen aus dem Rohstoffsektor;;;;;;;;
Einnahmen aus Steuern 2010-2017;;;;;;;;
;;;;;;;;
Steuerart;Jahr;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017
;in Mio. EURO;;;;;;;
Körperschaftsteuer;132;154;173;153;98;93;83;81
Gewerbesteuer;155;248;287;160;201;190;170;166
Einkommensteuer;39;34;59;54;60;57;51;45
Solidaritätszuschlag;9;10;13;11;9;8;7;7
Summe;335;446;532;378;368;347;311;299
Gesamteinnahmen des Staates;1.110.315;1.182.702;1.220.853;1.259.033;1.308.541;1.356.490;1.415.506;1.473.847
Anteil o.g. Steuern an Gesamteinnahmen;0,03%;0,04%;0,04%;0,03%;0,03%;0,03%;0,02%;0,02%
nachrichtlich:;;;;;;;;
Fortschreibungsfaktor; ; ;;;;-5,63?%;-10,59%;-2,25%
;;;;;;;;
http://www.rohstofftransparenz.de/explore/einnahmen/;;;;;;;;
