Tax revenues from the natural resources sector ;;;;;;
Tax revenues, 2010-2015 ;;;;;;
;;;;;;
Type of tax;Year;;;;;
;2010;2011;2012;2013;2014;2015
;In millions of €;;;;;
Corporation tax;132;154;173;154;148;122
Trade tax;155;248;266;236;227;187
Income tax;39;34;60;53;51;42
Solidarity surcharge;9;10;13;11;11;9
Totals;335;446;512;454;438;361
;;;;;;
Total income of the State;1,030,908;1,103,862;1,163,357;1,201,058;1,244,589;1,301,816
Proportion of the above taxes on total receipts;0,03%;0,04%;0,04%;0,04%;0,04%;0,03%
;;;;;;
for information only:;;;;;;
Updating factor; ; ;7,09%;-11,40%;-3,48%;-17,61%
;;;;;;
Source: http://www.rohstofftransparenz.de/en/daten/einnahmen/;;;;;;
