Umsatz des Sektors „Bergbau und Gewinnung von Steinen und Erden 2012-2016 **;;;;;
;2012;2013;2014;2015;2016
Gewinnung von Erdöl und Erdgas;5.426.127;4.768.721;3.526.863;2.679.436;1.870.085
Gewinnung von Steinen und Erden, sonstiger Bergbau;4.655.207;4.720.729;4.657.017;4.758.056;4.811.514
Kohlenbergbau;3.039.132;2.670.081;2.572.253;2.436.600;2.182.183
Sonstige*;489.746;395.224;358.044;311.847;291.601
Summe;13.610.212;12.554.755;11.114.177;10.185.939;9.155.383
* Erbringung von Dienstleistungen für den Bergbau u.die Gewinnung von Steinen und Erden (W08-09) sowie in untergeordneter Rolle Erzbergbau (WZ08-07);;;;;
** bezogen auf Betriebe von Unternehmen mit 20 und mehr Beschäftigten (Gewinnung von Naturstein, Kies, Sand, Ton Kaolin: 10 und mehr Beschäftigte);;;;;
;;;;;
;;;;;
Quelle Die Daten wurden der Publikationsreihe „Jahresbericht für Betriebe“ des Statistischen Bundesamtes entnommen ;;;;;
