Year,Region,Commodity,Product,Product_en,Volume
2015,Baden-Württemberg,,Erdöl (t),Oil (t),582
2015,Bayern,,Erdöl (t),Oil (t),39869
2015,Bayern,,Erdgas (1000 m³),Gas (1000 m³),10909
2015,Brandenburg,,Braunkohle (t),Brown Coal (t),32501421
2015,Brandenburg,,Erdöl (t),Oil (t),9422
2015,Hamburg,,Erdöl (t),Oil (t),13195
2015,Mecklenburg-Vorpommern,,Erdöl (t),Oil (t),3618
2015,Niedersachsen,,Braunkohle (t),Brown Coal (t),1474459
2015,Niedersachsen,,Erdöl (t),Oil (t),817898
2015,Niedersachsen,,Erdgas (1000 m³),Gas (1000 m³),8831204
2015,Nordrhein-Westfalen,,Steinkohle (t),Stone Coal (t),6222786
2015,Nordrhein-Westfalen,,Braunkohle (t),Brown Coal (t),95214452
2015,Rheinland-Pfalz,,Erdöl (t),Oil (t),202344
2015,Sachsen,,Braunkohle (t),Brown Coal (t),39927204
2015,Sachsen-Anhalt,,Braunkohle (t),Brown Coal (t),9033874
2015,Sachsen-Anhalt,,Erdgas (1000 m³),Gas (1000 m³),399501
2015,Schleswig-Holstein,,Erdöl (t),Oil (t),1325715
2015,Schleswig-Holstein,,Erdgas (1000 m³),Gas (1000 m³),61150
2015,Thüringen,,Erdgas (1000 m³),Gas (1000 m³),20208
2015,Hessen,,Kalisalz (t),Potash (t),2625842
2015,Niedersachsen,,Kalisalz (t),Potash (t),365813
2015,Sachsen-Anhalt,,Kalisalz (t),Potash (t),1948182
2015,Thüringen,,Kalisalz (t),Potash (t),810288
2015,Baden-Württemberg,,Steinsalz & Industriesohle (t),Rock Salt & Industrial Brine (t),2859604
2015,Niedersachsen,,Steinsalz & Industriesohle (t),Rock Salt & Industrial Brine (t),3444383
2015,Nordrhein-Westfalen,,Steinsalz & Industriesohle (t),Rock Salt & Industrial Brine (t),3254042
2015,Sachsen-Anhalt,,Steinsalz & Industriesohle (t),Rock Salt & Industrial Brine (t),3885036
2015,Thüringen,,Steinsalz & Industriesohle (t),Rock Salt & Industrial Brine (t),232050
2015,Baden-Württemberg,,Spezialton (t),Special Clay (t),663338
2015,Bayern,,Spezialton (t),Special Clay (t),1507377
2015,Brandenburg,,Spezialton (t),Special Clay (t),13028
2015,Hessen,,Spezialton (t),Special Clay (t),761290
2015,Mecklenburg-Vorpommern,,Spezialton (t),Special Clay (t),32864
2015,Niedersachsen,,Spezialton (t),Special Clay (t),54549
2015,Nordrhein-Westfalen,,Spezialton (t),Special Clay (t),360984
2015,Rheinland-Pfalz,,Spezialton (t),Special Clay (t),2635709
2015,Sachsen,,Spezialton (t),Special Clay (t),170021
2015,Sachsen-Anhalt,,Spezialton (t),Special Clay (t),122686
2015,Thüringen,,Spezialton (t),Special Clay (t),77873
